Name,English name,Episodes,Aired,Genres,Score
Kenran Butou Sai: The Mars Daybreak,Mars Daybreak,26,"Apr 1, 2004 to Sep 23, 2004","Action, Adventure, Comedy, Romance, Sci-Fi",7.14
Kimagure Orange☆Road,Kimagure Orange Road,48,"Apr 6, 1987 to Mar 7, 1988","Comedy, Drama, Romance",7.53
Macross,Macross,36,"Oct 3, 1982 to Jun 26, 1983","Action, Romance, Sci-Fi",7.9
Macross: Do You Remember Love?,UNKNOWN,1,"Jul 7, 1984","Action, Romance, Sci-Fi",7.94
Kidou Senshi Gundam I,Mobile Suit Gundam I,1,"Mar 14, 1981","Action, Adventure, Drama, Sci-Fi",7.24
Kidou Senshi Gundam II: Ai Senshi-hen,Mobile Suit Gundam II: Soldiers of Sorrow,1,"Jul 11, 1981","Action, Drama, Sci-Fi",7.33
Kidou Senshi Gundam III: Meguriai Sora-hen,Mobile Suit Gundam III: Encounters in Space,1,"Mar 13, 1982","Action, Adventure, Drama, Sci-Fi",7.74
Oishinbo,UNKNOWN,136,"Oct 17, 1988 to Mar 17, 1992","Comedy, Gourmet, Slice of Life",6.85
One Piece: Umi no Heso no Daibouken-hen,One Piece TV Special: Adventure in the Ocean's Navel,1,"Dec 20, 2000","Action, Adventure, Fantasy",7.2
Kidou Keisatsu Patlabor the Movie,Patlabor: The Movie,1,"Jul 15, 1989",Drama,7.55
Kidou Keisatsu Patlabor 2 the Movie,Mobile Police Patlabor 2: The Movie,1,"Aug 7, 1993","Award-Winning, Drama, Mystery, Sci-Fi",7.96
Samurai Girl Real Bout High School,Samurai Girl Real Bout High School,13,"Jul 30, 2001 to Oct 22, 2001","Adventure, Comedy, Fantasy",5.91
Shadow Skill: Kurudaryuu Kousatsuhou no Himitsu,UNKNOWN,1,"Feb 10, 2004","Adventure, Drama, Fantasy",5.77
Soreyuke! Uchuu Senkan Yamamoto Youko,Starship Girl Yamamoto Yohko,3,"Mar 6, 1996 to Jun 5, 1996","Adventure, Comedy, Sci-Fi",6.01
Tenchi Muyou! Manatsu no Eve,Tenchi the Movie 2: Daughter of Darkness,1,"Aug 2, 1997","Action, Comedy, Sci-Fi",7.1
Urda,UNKNOWN,5,"Jan 5, 2002 to Jan 5, 2003","Action, Sci-Fi",4.42
Digital Juice,UNKNOWN,6,"Jan 25, 2002",Comedy,5.44
Eikyuu Kazoku,UNKNOWN,1,"Apr 1, 1997",Comedy,5.86
Youjuu Toshi,Wicked City,1,"Apr 25, 1987","Action, Adventure, Drama, Horror",6.44
Senkaiden Houshin Engi,Soul Hunter,26,"Jul 3, 1999 to Dec 25, 1999","Adventure, Fantasy, Supernatural",7.08
Monster Extra: Hottan,UNKNOWN,1,"Sep 21, 2004","Drama, Mystery, Suspense",6.64
Mermaid Melody Pichi Pichi Pitch Pure,UNKNOWN,39,"Apr 3, 2004 to Dec 25, 2004","Adventure, Comedy, Romance",7.19
Handsome Girl,Handsome Girl,1,"Jan 21, 1992",Romance,5.6
Junkers Come Here,UNKNOWN,1,"Mar 18, 1995","Award-Winning, Drama",7.1
Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,Pokémon: The Movie 2000,1,"Jul 17, 1999","Adventure, Comedy, Drama, Fantasy",7.34
Pokemon Movie 03: Kesshoutou no Teiou Entei,Pokémon 3: The Movie,1,"Jul 8, 2000","Action, Adventure, Comedy, Drama, Fantasy",7.08
Pokemon Movie 04: Celebi Toki wo Koeta Deai,Pokémon 4Ever,1,"Jul 7, 2001","Adventure, Comedy, Drama, Fantasy",6.9
Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,Pokémon Heroes,1,"Jul 13, 2002","Adventure, Comedy, Drama, Fantasy",7.15
Pokemon Movie 06: Nanayo no Negaiboshi Jirachi,Pokémon: Jirachi — Wish Maker,1,"Jul 19, 2003","Adventure, Comedy, Drama, Fantasy",6.74
Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,Pokémon: Destiny Deoxys,1,"Jul 17, 2004","Action, Adventure, Comedy, Fantasy, Sci-Fi",6.96
Bouken Ou Beet Excellion,Beet the Vandel Buster Excellion,25,"Oct 6, 2005 to Mar 30, 2006","Adventure, Fantasy, Supernatural",6.68
Seikai no Danshou: Tanjou,Crest of the Stars: Birth,1,"Aug 25, 2000","Romance, Sci-Fi",7.05
Figure 17: Tsubasa & Hikaru,UNKNOWN,13,"May 27, 2001 to May 26, 2002","Sci-Fi, Slice of Life",7.2
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,UFO Ultramaiden Valkyrie 2: December Nocturne,12,"Oct 4, 2003 to Dec 20, 2003","Comedy, Romance, Sci-Fi",7.01
UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou,UNKNOWN,1,"Aug 23, 2003","Comedy, Romance, Sci-Fi",6.79
Windaria,Once Upon a Time,1,"Jul 19, 1986","Action, Drama, Fantasy, Romance, Sci-Fi",6.49
Digimon Frontier,Digimon Frontier,50,"Apr 7, 2002 to Mar 30, 2003","Action, Adventure, Comedy, Drama, Fantasy",7.15
Tenchi Muyou! GXP,UNKNOWN,26,"Apr 2, 2002 to Sep 25, 2002","Action, Comedy, Sci-Fi",7.14
Munto: Toki no Kabe wo Koete,Munto 2: Beyond the Walls of Time,1,"Apr 29, 2005","Action, Fantasy",6.95
Betterman,UNKNOWN,26,"Apr 2, 1999 to Oct 1, 1999","Action, Adventure, Drama, Horror, Mystery, Sci-Fi",6.58
Mushrambo,Shinzo,32,"Feb 5, 2000 to Sep 23, 2000","Adventure, Drama, Fantasy, Sci-Fi",6.93
Medarot,Medabots,52,"Jul 2, 1999 to Jun 30, 2000","Adventure, Comedy, Sci-Fi",7.08
Monkey Magic,UNKNOWN,13,"Sep 20, 1998 to Dec 13, 1998","Adventure, Fantasy",5.77
Giniro no Kami no Agito,Origin: Spirits of the Past,1,"Jan 7, 2006","Adventure, Drama, Fantasy, Romance, Sci-Fi",7.06
Palme no Ki,A Tree of Palme,1,"Mar 16, 2002","Adventure, Drama, Fantasy, Romance",6.53
Hachimitsu to Clover II,Honey and Clover II,12,"Jun 30, 2006 to Sep 15, 2006","Drama, Romance",8.2
.hack//Intermezzo,UNKNOWN,1,"Mar 28, 2003","Adventure, Fantasy, Mystery, Sci-Fi",6.52
Tenchi Muyou! in Love 2: Harukanaru Omoi,Tenchi Forever!,1,"Apr 24, 1999","Drama, Romance, Sci-Fi",7.2
Kaze no Youjinbou,Kaze no Yojimbo,25,"Oct 2, 2001 to Mar 26, 2002","Action, Drama, Mystery",7.13
Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,Tenchi Muyo! Ryo-Ohki: The Night Before The Carnival,1,"Sep 25, 1993","Comedy, Romance, Sci-Fi",7.31
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,UNKNOWN,1,"Sep 14, 2005","Action, Comedy, Sci-Fi",7.19
Teito Monogatari,Doomed Megalopolis,4,"Sep 27, 1991 to Sep 25, 1992","Horror, Supernatural",5.9
Choujuushin Gravion Zwei,Super Heavy God Gravion Zwei,12,"Jan 9, 2004 to Mar 26, 2004","Action, Adventure, Comedy, Sci-Fi",6.63
Legend of Crystania,Legend of Crystania,3,"Nov 21, 1996 to Apr 23, 1997","Action, Adventure, Fantasy, Supernatural",5.95
Dominion,UNKNOWN,4,"May 27, 1988 to Aug 11, 1989","Comedy, Sci-Fi",6.87
New Dominion Tank Police,UNKNOWN,6,"Oct 20, 1993 to Oct 21, 1994","Comedy, Sci-Fi",6.89
Crying Freeman,UNKNOWN,6,"Nov 25, 1988 to Feb 25, 1994","Action, Drama, Romance",6.41
Mother: Saigo no Shoujo Eve,E.Y.E.S. of Mars,1,"Dec 26, 1993","Adventure, Drama, Sci-Fi",5.44
Melty Lancer,UNKNOWN,6,"May 25, 1999 to May 25, 2000","Adventure, Comedy, Sci-Fi",6.13
I: Wish You Were Here,Zaion: I Wish You Were Here,4,"Oct 4, 2001 to Nov 24, 2001","Action, Drama, Mystery, Sci-Fi",6.0
Final Fantasy: Unlimited,UNKNOWN,25,"Oct 2, 2001 to Mar 26, 2002","Action, Adventure, Fantasy, Sci-Fi",6.18
Geobreeders: File-X Chibi Neko Dakkan,Geobreeders: (File-X) Get Back The Kitty,3,"May 21, 1998 to Oct 21, 1998","Adventure, Comedy, Supernatural",6.42
Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,Geobreeders: Breakthrough,4,"Jul 26, 2000 to Mar 23, 2001","Adventure, Comedy, Sci-Fi",6.5
Gundress,UNKNOWN,1,"Mar 20, 1999","Action, Sci-Fi",5.4
Maze☆Bakunetsu Jikuu (TV),Maze: The Mega-Burst Space,25,"Apr 3, 1997 to Sep 25, 1997","Adventure, Comedy, Fantasy",6.6
Maze☆Bakunetsu Jikuu,Maze: The Mega-Burst Space OVA,2,"Jul 24, 1996 to Sep 21, 1996","Adventure, Comedy, Fantasy",5.99
Neo Ranga,UNKNOWN,48,"Apr 6, 1998 to Sep 28, 1999","Adventure, Horror",6.59
Mahou Senshi Louie,Rune Soldier,24,"Apr 3, 2001 to Sep 18, 2001","Adventure, Comedy, Fantasy",7.16
Sakura Taisen: Ouka Kenran,Sakura Wars,4,"Dec 18, 1997 to Jul 24, 1998","Action, Adventure, Sci-Fi",6.64
Sakura Taisen: Gouka Kenran,Sakura Wars 2: Return of the Spirit Warriors,6,"Dec 18, 1999 to Dec 21, 2000","Adventure, Sci-Fi, Slice of Life",6.93
Samurai Gun,UNKNOWN,12,"Oct 4, 2004 to Dec 14, 2004",Action,5.93
Musekinin Kanchou Tylor OVA,Irresponsible Captain Tylor OVA,10,"Oct 1, 1994 to Aug 1, 1996","Adventure, Comedy, Drama, Sci-Fi",7.2
Green Legend Ran,UNKNOWN,3,"Nov 25, 1992 to Mar 25, 1993","Adventure, Drama, Sci-Fi",6.56
Slayers Specials,Slayers: The Book of Spells,3,"Jul 25, 1996 to May 25, 1997","Adventure, Comedy, Fantasy",7.34
Slayers Excellent,Slayers Excellent,3,"Oct 25, 1998 to Mar 25, 1999","Adventure, Comedy, Fantasy",7.3
Slayers Try,UNKNOWN,26,"Apr 4, 1997 to Sep 26, 1997","Adventure, Comedy, Fantasy",7.81
Munto,Munto,1,"Mar 18, 2003","Fantasy, Romance",6.77
Metal Fighter Miku,Metal Fighter Miku,13,"Jul 8, 1994 to Sep 30, 1994","Comedy, Sci-Fi, Sports",6.44
Unkai no Meikyuu Zeguy,Mask of Zeguy,2,"Mar 21, 1993 to May 21, 1993","Action, Adventure, Fantasy",5.66
Alien 9,UNKNOWN,4,"Jun 25, 2001 to Feb 25, 2002","Horror, Sci-Fi",6.71
Detonator Orgun,Detonator Orgun,3,"Aug 25, 1991 to Apr 25, 1992","Action, Sci-Fi",6.36
Gakuen Senki Muryou,Shingu: Secret of the Stellar Wars,26,"May 8, 2001 to Dec 4, 2001","Action, Adventure, Sci-Fi, Supernatural",7.0
Hyper Police,UNKNOWN,25,"Apr 4, 1997 to Sep 26, 1997","Action, Comedy, Romance, Sci-Fi",7.07
Hikyou Tanken Fam & Ihrlie,Ruin Explorers Fam & Ihrie,4,"Jun 25, 1995 to Feb 25, 1996","Action, Adventure, Comedy, Fantasy",6.66
Shamanic Princess,UNKNOWN,6,"Jun 25, 1996 to Jun 25, 1998","Action, Fantasy, Romance",6.63
Lost Universe,UNKNOWN,26,"Apr 3, 1998 to Sep 25, 1998","Adventure, Comedy, Drama, Sci-Fi",7.03
Battle Athletess Daiundoukai (TV),Battle Athletes Victory,26,"Oct 3, 1997 to Mar 27, 1998","Adventure, Sci-Fi, Sports",6.91
DNA² OVA,UNKNOWN,3,"Feb 21, 1995 to Jun 25, 1995","Comedy, Drama, Sci-Fi",6.5
Momoiro Sisters,UNKNOWN,23,"Aug 26, 1998 to Oct 6, 1998",Comedy,6.03
Eden's Bowy,UNKNOWN,26,"Apr 6, 1999 to Sep 24, 1999","Action, Adventure, Fantasy, Romance, Sci-Fi",6.5
Tennis no Ouji-sama: Sonzoku Yama no Hi,Prince of Tennis: A Day of the Survival Mountain,1,2003,Sports,7.36
Saber Marionette J Again,UNKNOWN,6,"Nov 25, 1997 to Jun 25, 1998","Action, Comedy, Romance, Sci-Fi",7.22
Kakurenbo,Kakurenbo: Hide & Seek,1,"Sep 1, 2004","Horror, Supernatural",6.64
Happy Seven: The TV Manga,UNKNOWN,13,"Oct 3, 2005 to Dec 26, 2005","Comedy, Fantasy",6.39
Coyote Ragtime Show,UNKNOWN,12,"Jul 4, 2006 to Sep 19, 2006","Action, Adventure, Comedy, Sci-Fi",6.63
Masuda Kousuke Gekijou Gag Manga Biyori,UNKNOWN,12,"Feb 7, 2005 to Apr 25, 2005",Comedy,7.16
Tsuyokiss,UNKNOWN,12,"Jul 2, 2006 to Sep 17, 2006","Comedy, Romance, Slice of Life",6.56
Gun-dou Musashi,Gun Samurai,26,"Apr 9, 2006 to Oct 8, 2006","Adventure, Fantasy",5.45
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,UNKNOWN,1,"Mar 22, 2006","Action, Adventure, Fantasy, Sci-Fi",6.11
Kujira no Chouyaku,UNKNOWN,1,"Nov 14, 1998","Award-Winning, Drama, Fantasy",6.58
Aru Tabibito no Nikki,A Traveller's Diary,6,"Mar 19, 2003 to Jun 4, 2003","Adventure, Fantasy",7.05
Ihatov Gensou: Kenji no Haru,Spring and Chaos,1,"Dec 14, 1996","Drama, Slice of Life",7.26
Wata no Kuni Hoshi,Fantasy of a Kitten,1,"Feb 11, 1984","Drama, Fantasy, Romance",6.81
Tatsu no Ko Tarou,Taro the Dragon Boy,1,"Mar 17, 1979","Adventure, Fantasy, Supernatural",6.76
Nasu: Andalusia no Natsu,Nasu: Summer in Andalusia,1,"Jul 26, 2003",Sports,6.99
NHK ni Youkoso!,Welcome to the N.H.K.,24,"Jul 10, 2006 to Dec 18, 2006","Comedy, Drama, Romance",8.31
Macross Plus Movie Edition,UNKNOWN,1,"Oct 7, 1995","Action, Adventure, Romance, Sci-Fi",7.7
Oban Star-Racers,UNKNOWN,26,"Sep 23, 2006 to Mar 25, 2007","Action, Adventure, Sci-Fi",7.5
Binbou Shimai Monogatari,UNKNOWN,10,"Jun 30, 2006 to Sep 15, 2006","Comedy, Drama, Slice of Life",6.86
Kidou Senshi Gundam SEED C.E. 73: Stargazer,Mobile Suit Gundam SEED C.E.73: Stargazer,3,"Jul 14, 2006 to Sep 29, 2006",Sci-Fi,7.13
Hoshizora Kiseki,Hoshizora Kiseki,1,"Jul 10, 2006","Romance, Sci-Fi",5.7
Demashita! Powerpuff Girls Z,Powerpuff Girls Z,52,"Jul 1, 2006 to Jun 30, 2007","Action, Comedy, Sci-Fi, Slice of Life",6.42
Bokura ga Ita,UNKNOWN,26,"Jul 4, 2006 to Dec 26, 2006","Drama, Romance",7.25
Aquarian Age: Sign for Evolution,Aquarian Age: Sign for Evolution,13,"Jan 11, 2002 to Mar 29, 2002","Action, Adventure, Fantasy, Romance, Sci-Fi, Supernatural",6.05
3x3 Eyes: Seima Densetsu,3x3 Eyes: Legend of the Divine Demon,3,"Jul 25, 1995 to Jun 25, 1996","Action, Adventure, Fantasy, Horror, Romance",6.91
Seihou Tenshi Angel Links,Angel Links,13,"Apr 7, 1999 to Jun 30, 1999","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",5.92
Shuten Douji,Shuten Doji - The Star Hand Kid,4,"Dec 21, 1989 to Dec 21, 1991","Horror, Sci-Fi, Supernatural",5.65
Innocent Venus,UNKNOWN,12,"Jul 27, 2006 to Oct 26, 2006","Adventure, Drama, Sci-Fi",6.78
Saber Marionette J to X,UNKNOWN,26,"Oct 6, 1998 to Mar 30, 1999","Action, Adventure, Comedy, Sci-Fi",7.28
Saber Marionette R,Saber Marionette R,3,"May 24, 1995 to Sep 25, 1995","Action, Comedy, Sci-Fi",6.56
Aozora Shoujo-tai,801 T.T.S. Airbats,7,"Oct 21, 1994 to Aug 21, 1996","Action, Comedy, Romance",6.5
SF Saiyuuki Starzinger,Spaceketeers,73,"Apr 2, 1978 to Aug 26, 1979","Action, Adventure, Sci-Fi",6.96
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,"One Piece Special: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",1,"Apr 6, 2003","Action, Adventure, Fantasy",7.21
One Piece: Mamore! Saigo no Dai Butai,UNKNOWN,1,"Dec 14, 2003","Action, Adventure, Fantasy",7.32
Bishoujo Senshi Sailor Moon SuperS,Sailor Moon SuperS,39,"Mar 4, 1995 to Mar 2, 1996","Fantasy, Romance",7.62
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Sailor Moon SuperS the Movie: Black Dream Hole,1,"Dec 23, 1995",Drama,7.55
Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai,Mobile Suit Gundam SEED Destiny Final Plus: The Chosen Future,1,"Dec 25, 2005","Drama, Sci-Fi",7.38
Night Head Genesis,UNKNOWN,24,"Jun 17, 2006 to Dec 31, 2006","Drama, Mystery, Sci-Fi, Supernatural",6.74
Ankoku Shindenshou Takegami,Guardian of Darkness,3,"Mar 23, 1990 to Jan 24, 1992","Action, Drama, Sci-Fi, Supernatural",5.49
Shihaisha no Tasogare,Twilight Of The Dark Master,1,"Jan 21, 1998","Action, Drama, Horror, Sci-Fi, Supernatural",5.8
Yuugo: Koushounin,Yugo The Negotiator,13,"Feb 25, 2004 to May 26, 2004","Action, Drama, Mystery, Suspense",7.07
Project BLUE Chikyuu SOS,Project Blue Earth SOS,6,"Jul 2, 2006 to Dec 3, 2006","Adventure, Comedy, Sci-Fi",6.58
Zone of the Enders: 2167 Idolo,Z.O.E. 2167 Idolo,1,"Feb 21, 2001","Action, Drama, Romance, Sci-Fi",6.86
"Zone of the Enders: Dolores, I",Zone of the Enders: Dolores,26,"Apr 7, 2001 to Sep 29, 2001","Action, Adventure, Comedy, Sci-Fi",6.92
Erementar Gerad,Elemental Gelade,26,"Apr 5, 2005 to Sep 27, 2005","Adventure, Comedy, Fantasy, Romance",7.25
Fushigi no Umi no Nadia,Nadia: Secret of Blue Water,39,"Apr 13, 1990 to Apr 12, 1991","Adventure, Comedy, Romance, Sci-Fi",7.52
Fushigi no Umi no Nadia: Original Movie,Nadia: The Secret of Blue Water - The Motion Picture,1,"Jun 29, 1991","Action, Adventure, Drama, Mystery, Romance, Sci-Fi",5.26
Saint Seiya: Meiou Hades Meikai-hen,Saint Seiya: The Hades Chapter - Inferno,12,"Dec 17, 2005 to Feb 6, 2007","Action, Adventure, Fantasy, Sci-Fi",7.75
Saint Seiya,Saint Seiya: Knights of the Zodiac,114,"Oct 11, 1986 to Apr 1, 1989","Action, Adventure, Fantasy, Sci-Fi",7.75
Saint Seiya: Shinku no Shounen Densetsu,Saint Seiya: Legend of Crimson Youth,1,"Jul 23, 1988","Adventure, Fantasy, Sci-Fi",7.2
Saint Seiya: Jashin Eris,Saint Seiya: Evil Goddess Eris,1,"Jul 18, 1987","Adventure, Sci-Fi",6.78
Saint Seiya: Meiou Hades Juuni Kyuu-hen,Saint Seiya: The Hades Chapter - Sanctuary,13,"Nov 9, 2002 to Jul 25, 2003","Action, Adventure, Fantasy, Sci-Fi",8.05
Saint Seiya: Kamigami no Atsuki Tatakai,Saint Seiya: The Heated Battle of the Gods,1,"Mar 12, 1988","Adventure, Sci-Fi",6.86
Saint Seiya: Tenkai-hen Josou - Overture,Saint Seiya: The Heaven Chapter - Overture,1,"Feb 14, 2004","Action, Adventure, Fantasy, Sci-Fi",7.2
Saint Seiya: Saishuu Seisen no Senshi-tachi,Saint Seiya: Warriors of the Final Holy Battle,1,"Mar 18, 1989","Adventure, Sci-Fi",6.75
Kyattou Ninden Teyandee,Samurai Pizza Cats,54,"Feb 1, 1990 to Feb 12, 1991","Action, Comedy, Sci-Fi",7.07
Macross II: Lovers Again,UNKNOWN,6,"May 21, 1992 to Nov 21, 1992","Action, Adventure, Sci-Fi",6.29
Yoroiden Samurai Troopers,Ronin Warriors,39,"Apr 30, 1988 to Mar 4, 1989","Adventure, Sci-Fi",7.08
Yoroiden Samurai Troopers Gaiden,Ronin Warriors Gaiden,2,"Apr 30, 1989 to Jun 1, 1989","Adventure, Fantasy",6.5
Yoroiden Samurai Troopers Kikoutei Densetsu,Ronin Warriors Legend of Kikoutei,4,"Oct 8, 1989 to Jan 11, 1990","Adventure, Fantasy",6.44
Yoroiden Samurai Troopers Message,Ronin Warriors Message,5,"Mar 21, 1991 to Aug 23, 1991","Adventure, Fantasy",5.88
Aquarian Age: Saga II - Don't Forget Me...,Aquarian Age: The Movie,1,"Nov 21, 2003","Action, Drama",5.71
Bio Hunter,UNKNOWN,1,"Dec 8, 1995","Action, Horror",5.91
Black Magic M-66,UNKNOWN,1,"Jun 28, 1987","Action, Sci-Fi",6.37
Ys,UNKNOWN,7,"Nov 21, 1989 to Sep 5, 1991","Action, Adventure, Drama, Fantasy",6.41
Ys: Tenkuu no Shinden - Adol Christine no Bouken,Ys II: Castle in the Heavens,4,"Dec 16, 1992 to Jul 21, 1993","Adventure, Drama, Fantasy",6.58
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,Sailor Moon SuperS Plus: Ami's First Love,1,"Dec 23, 1995","Comedy, Romance",7.31
Taiyou no Ko Esteban,The Mysterious Cities of Gold,39,"May 1, 1982 to Feb 5, 1983","Adventure, Sci-Fi",7.74
Mamono Hunter Youko,Devil Hunter Yohko,5,"Dec 1, 1990 to Jul 1, 1995","Comedy, Fantasy, Horror, Supernatural",6.23
Gakkou no Kaidan,Ghost Stories,19,"Oct 22, 2000 to Mar 25, 2001","Horror, Mystery, Supernatural",7.73
Choujuu Densetsu Gestalt,Gestalt,2,"Jan 22, 1997 to Feb 21, 1997","Adventure, Comedy, Fantasy",6.07
Houma Hunter Lime,Jewel BEM Hunter Lime,3,"Oct 25, 1996 to Mar 7, 1997","Comedy, Fantasy",6.36
Soukihei MD Geist,M.D. Geist,1,"May 21, 1986","Action, Sci-Fi",5.32
Soukihei MD Geist 2: Death Force,M.D. Geist 2,1,"Mar 1, 1996","Action, Sci-Fi",5.01
Odin: Koushi Hansen Starlight,Odin: Starlight Mutiny,1,"Aug 10, 1985","Action, Adventure, Drama, Sci-Fi",5.16
Kidou Keisatsu Patlabor,Patlabor: The Mobile Police,7,"Apr 25, 1988 to Jun 25, 1989","Comedy, Sci-Fi",7.27
Kidou Keisatsu Patlabor: New OVA,Mobile Police Patlabor: The New Files,16,"Nov 22, 1990 to Apr 23, 1992","Comedy, Sci-Fi",7.54
WXIII Kidou Keisatsu Patlabor,Patlabor Movie 3: WXIII,1,"Mar 30, 2002",Sci-Fi,6.67
Afro Samurai,Afro Samurai,5,"May 3, 2007 to May 4, 2007","Action, Adventure",7.36
Urusei Yatsura,Urusei Yatsura,195,"Oct 14, 1981 to Mar 19, 1986","Action, Adventure, Comedy, Drama, Romance, Sci-Fi",7.73
A-Ko The Versus,Project A-ko: Uncivil Wars,2,"Jul 21, 1990 to Aug 21, 1990","Action, Adventure, Comedy, Romance, Sci-Fi",6.2
Project A-Ko 2: Daitokuji Zaibatsu no Inbou,Project A-Ko 2: Plot of the Daitokuji Financial Group,1,"May 21, 1987","Action, Comedy, Sci-Fi",6.45
Project A-Ko 3: Cinderella Rhapsody,UNKNOWN,1,"Jun 20, 1988","Action, Comedy, Sci-Fi",6.33
Project A-Ko 4: Final,Project A-ko: Love & Robots,1,"Oct 7, 1989","Action, Comedy, Sci-Fi",6.39
Omishi Mahou Gekijou: Risky★Safety,UNKNOWN,24,"Oct 5, 1999 to Apr 4, 2000",Comedy,6.56
Ginga Tetsudou 999 (Movie),Galaxy Express 999,1,"Aug 4, 1979","Adventure, Drama, Fantasy, Sci-Fi",7.55
Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,Adieu Galaxy Express 999,1,"Jan 8, 1981","Adventure, Drama, Sci-Fi",7.24
The Animatrix,The Animatrix,9,"Jun 3, 2003","Action, Drama, Sci-Fi",7.3
Chikyuu Bouei Kigyou Dai-Guard,Dai-Guard: Terrestrial Defense Corp.,26,"Oct 5, 1999 to Mar 28, 2000","Adventure, Comedy, Sci-Fi",7.16
Digimon Adventure 02,Digimon Adventure 02,50,"Apr 2, 2000 to Mar 25, 2001","Action, Adventure, Comedy, Drama, Fantasy",7.23
DT Eightron,DT Eightron,26,"Apr 18, 1998 to Nov 6, 1998","Action, Sci-Fi",6.3
Idaten Jump,Idaten Jump,52,"Oct 1, 2005 to Sep 30, 2006",Sports,7.25
Eyeshield 21: Maboroshi no Golden Bowl,The Illusionary Golden Bowl,1,"Aug 6, 2004",Sports,6.6
Hamelin no Violin Hiki,Violinist of Hamelin,25,"Oct 2, 1996 to Mar 26, 1997","Adventure, Drama, Fantasy",6.52
Aoki Densetsu Shoot!,Blue Legend Shoot!,58,"Nov 7, 1993 to Dec 25, 1994","Romance, Sports",7.42
1 Pound no Fukuin,One Pound Gospel,1,"Dec 2, 1988","Comedy, Romance, Sports",6.38
Ohoshi-sama no Rail,Rail of the Star: A True Story of Children,1,"Jul 10, 1993",Drama,6.95
Fushigi na Koala Blinky,Noozles,26,"Jul 7, 1984 to Dec 28, 1984","Adventure, Comedy, Fantasy",6.1
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi,Ghost in the Shell: Stand Alone Complex: Tachikomatic Days,26,"Oct 1, 2002 to Mar 25, 2003","Comedy, Sci-Fi",7.12
Kyoushoku Soukou Guyver II,The Guyver: Bio-Booster Armor,6,"Oct 24, 1991 to Aug 21, 1992","Action, Adventure, Drama, Horror, Sci-Fi",6.97
Dororon Enma-kun,UNKNOWN,25,"Oct 4, 1973 to Mar 28, 1974","Comedy, Fantasy, Horror, Supernatural",6.15
Shin Megami Tensei: Tokyo Mokushiroku,Tokyo Revelation,2,"Apr 21, 1995 to Jun 21, 1995","Action, Horror, Sci-Fi, Supernatural",5.34
Yami no Shihosha Judge,Judge,1,"Jun 15, 1991","Horror, Supernatural",5.29
Violence Jack: Harlem Bomber-hen,Violence Jack: Slumking,1,"Jun 5, 1986","Action, Drama, Horror",5.18
Violence Jack: Jigoku Gai-hen,Violence Jack: Evil Town,1,"Dec 6, 1988","Action, Drama, Horror",5.54
Violence Jack: Hell's Wind-hen,Violence Jack: Hell's Wind,1,"Nov 9, 1990","Action, Drama, Horror",5.47
Eightman After,8 Man After,4,"Aug 21, 1993 to Nov 22, 1993","Action, Drama, Sci-Fi",6.18
Soujuu Senshi Psychic Wars,Psychic Wars,1,"Feb 22, 1991",Action,3.08
AD Police,AD Police Files,3,"May 25, 1990 to Nov 22, 1990","Action, Adventure, Horror, Mystery, Sci-Fi, Suspense",6.24
Bubblegum Crisis,UNKNOWN,8,"Feb 25, 1987 to Jan 30, 1991","Adventure, Sci-Fi",7.31
Bubblegum Crash,UNKNOWN,3,"May 25, 1991 to Dec 21, 1991","Action, Adventure, Sci-Fi",6.54
A.D. Police (TV),A.D. Police: To Protect and Serve,12,"Apr 8, 1999 to Jul 1, 1999","Action, Sci-Fi",5.91
Parasite Dolls,UNKNOWN,3,"May 22, 2003 to Jul 24, 2003","Action, Sci-Fi",6.54
Angel Cop,UNKNOWN,6,"Sep 1, 1989 to May 20, 1994","Action, Sci-Fi",5.95
Cyber City Oedo 808,Cyber City,3,"Jun 21, 1990 to Oct 4, 1991","Action, Adventure, Sci-Fi",7.18
Makyuu Senjou,Dark Warrior,2,"Mar 22, 1991 to May 25, 1991","Action, Sci-Fi",4.83
Hokuto no Ken 2,Fist of the North Star 2,43,"Mar 12, 1987 to Feb 18, 1988","Action, Drama",7.56
