Name,English name,Episodes,Aired,Genres,Score
Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,13,"Jul 14, 2005 to Oct 20, 2005",Action,7.93
Gakuen Alice,Gakuen Alice,26,"Oct 30, 2004 to May 14, 2005","Comedy, Fantasy",7.64
Soukyuu no Fafner: Dead Aggressor,Fafner,25,"Jul 5, 2004 to Dec 27, 2004","Action, Drama, Sci-Fi",7.26
Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,13,"Oct 3, 2004 to Dec 26, 2004","Action, Comedy, Drama",7.41
Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,13,"Oct 2, 2005 to Dec 25, 2005","Action, Comedy, Drama",7.97
Kidou Senshi Gundam,Mobile Suit Gundam,43,"Apr 7, 1979 to Jan 26, 1980","Action, Drama, Sci-Fi",7.76
Kidou Senshi Gundam: Dai 08 MS Shoutai,Mobile Suit Gundam: The 08th MS Team,12,"Jan 25, 1996 to Jul 25, 1999","Adventure, Drama, Romance, Sci-Fi",8.01
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,6,"Mar 25, 1989 to Aug 25, 1989","Drama, Sci-Fi",7.96
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,1,"Aug 1, 1998","Drama, Romance, Sci-Fi",6.76
Kidou Senshi Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,13,"May 23, 1991 to Sep 24, 1992","Adventure, Drama, Romance, Sci-Fi",7.24
Kidou Senshi Zeta Gundam,Mobile Suit Zeta Gundam,50,"Mar 2, 1985 to Feb 22, 1986","Drama, Romance, Sci-Fi",7.9
Kidou Senshi Gundam ZZ,Mobile Suit Gundam ZZ,47,"Mar 1, 1986 to Jan 31, 1987","Comedy, Drama, Sci-Fi",6.68
Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,1,"Mar 12, 1988","Drama, Sci-Fi",7.66
Kidou Senshi Gundam F91,Mobile Suit Gundam F91,1,"Mar 16, 1991","Drama, Sci-Fi",6.62
Kidou Senshi Victory Gundam,Mobile Suit Victory Gundam,51,"Apr 2, 1993 to Mar 25, 1994","Drama, Sci-Fi",6.77
Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,49,"Apr 7, 1995 to Mar 29, 1996","Action, Drama, Sci-Fi",7.69
Shin Kidou Senki Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,3,"Jan 25, 1997 to Jul 25, 1997","Action, Award-Winning, Drama, Sci-Fi",7.74
Kidou Shinseiki Gundam X,After War Gundam X,39,"Apr 5, 1996 to Dec 28, 1996","Adventure, Drama, Sci-Fi",7.34
Kidou Senshi Gundam SEED,Mobile Suit Gundam SEED,50,"Oct 5, 2002 to Sep 27, 2003","Action, Award-Winning, Drama, Romance, Sci-Fi",7.75
Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam SEED Destiny,50,"Oct 9, 2004 to Oct 1, 2005","Action, Drama, Romance, Sci-Fi",7.18
Turn A Gundam,∀ Gundam,50,"Apr 9, 1999 to Apr 14, 2000","Action, Adventure, Award-Winning, Drama, Romance, Sci-Fi",7.74
Kidou Butouden G Gundam,Mobile Fighter G Gundam,49,"Apr 1, 1994 to Mar 31, 1995","Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",7.57
Last Exile,Last Exile,26,"Apr 8, 2003 to Sep 30, 2003","Action, Adventure, Sci-Fi",7.79
Mai-Otome,My-Otome,26,"Oct 7, 2005 to Mar 31, 2006","Comedy, Drama, Fantasy",7.28
Shin Shirayuki-hime Densetsu Prétear,Prétear: The New Legend of Snow White,13,"Apr 4, 2001 to Jun 27, 2001","Comedy, Drama, Fantasy, Romance",7.16
Air,Air,12,"Jan 7, 2005 to Mar 25, 2005","Drama, Romance, Supernatural",7.28
Aishiteruze Baby★★,UNKNOWN,26,"Apr 3, 2004 to Oct 9, 2004","Comedy, Drama, Romance",7.44
Akazukin Chacha,Red Riding Hood Chacha,74,"Jan 7, 1994 to Jun 30, 1995","Adventure, Comedy, Fantasy, Romance",7.49
Ayashi no Ceres,"Ceres, Celestial Legend",24,"Apr 20, 2000 to Sep 28, 2000","Adventure, Drama, Horror, Romance, Supernatural, Suspense",7.18
Boys Be...,Boys Be...,13,"Apr 11, 2000 to Jul 4, 2000","Comedy, Romance, Slice of Life",6.4
Hana yori Dango,Hana Yori Dango,51,"Sep 8, 1996 to Aug 31, 1997","Drama, Romance",7.61
Ou Dorobou Jing,Jing: King of Bandits,13,"May 15, 2002 to Aug 14, 2002","Adventure, Comedy, Fantasy, Sci-Fi",7.19
Ou Dorobou Jing in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,3,"Jan 21, 2004 to Apr 28, 2004","Adventure, Comedy, Fantasy",7.25
Bakuretsu Tenshi,Burst Angel,24,"Apr 7, 2004 to Sep 15, 2004","Adventure, Comedy, Sci-Fi",6.79
Chuuka Ichiban!,UNKNOWN,52,"Apr 27, 1997 to Sep 13, 1998","Action, Comedy, Drama, Gourmet",7.58
Corrector Yui,Corrector Yui,52,"Apr 9, 1999 to Oct 20, 2000","Adventure, Comedy, Sci-Fi",6.97
Uchuu no Stellvia,Stellvia,26,"Apr 3, 2003 to Sep 25, 2003","Action, Romance, Sci-Fi",7.37
Sakigake!! Cromartie Koukou,Cromartie High School,26,"Oct 3, 2003 to Mar 26, 2004",Comedy,7.9
El Hazard: The Alternative World,UNKNOWN,13,"Jan 8, 1998 to Mar 26, 1998","Adventure, Comedy, Fantasy",6.79
El Hazard: The Wanderers,El-Hazard: The Wanderers,26,"Oct 6, 1995 to Mar 29, 1996","Adventure, Comedy, Fantasy, Romance",6.93
El Hazard: The Magnificent World,UNKNOWN,7,"May 26, 1995 to Jan 25, 1996","Adventure, Comedy, Fantasy, Romance",7.26
El Hazard 2: The Magnificent World,UNKNOWN,4,"Mar 21, 1997 to Oct 25, 1997","Adventure, Comedy, Fantasy",6.78
Final Approach,UNKNOWN,13,"Oct 3, 2004 to Dec 26, 2004","Comedy, Drama, Romance",6.52
Fruits Basket,Fruits Basket,26,"Jul 5, 2001 to Dec 27, 2001","Drama, Romance, Supernatural",7.69
Fullmetal Alchemist,Fullmetal Alchemist,51,"Oct 4, 2003 to Oct 2, 2004","Action, Adventure, Award-Winning, Drama, Fantasy",8.11
Full Moon wo Sagashite,Searching for the Full Moon,52,"Apr 6, 2002 to Mar 29, 2003","Comedy, Drama, Romance, Supernatural",7.94
Fushigi Yuugi,Mysterious Play,52,"Apr 6, 1995 to Mar 28, 1996","Adventure, Fantasy, Romance",7.61
Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,4,"Dec 21, 2001 to Jun 25, 2002","Adventure, Drama, Fantasy, Romance",6.82
Futakoi,Twin Love,13,"Oct 6, 2004 to Dec 29, 2004","Comedy, Romance",6.44
Futakoi Alternative,UNKNOWN,13,"Apr 7, 2005 to Jun 30, 2005","Comedy, Drama, Romance",6.86
Gate Keepers,UNKNOWN,24,"Apr 3, 2000 to Sep 18, 2000","Action, Comedy, Fantasy, Sci-Fi",6.92
Gate Keepers 21,UNKNOWN,6,"Apr 24, 2002 to Jan 8, 2003","Action, Drama, Sci-Fi",6.74
Gensoumaden Saiyuuki,Saiyuki,50,"Apr 4, 2000 to Mar 27, 2001","Action, Adventure, Comedy, Drama, Supernatural",7.55
Saiyuuki Reload,Saiyuki Reload,25,"Oct 2, 2003 to Mar 25, 2004","Action, Adventure, Comedy, Drama, Supernatural",7.37
Saiyuuki Reload Gunlock,Saiyuki Gunlock,26,"Apr 2, 2004 to Sep 24, 2004","Action, Adventure, Comedy, Drama, Supernatural",7.37
GetBackers,Getbackers,49,"Oct 5, 2002 to Sep 20, 2003","Action, Mystery, Supernatural",7.58
Gunslinger Girl,Gunslinger Girl,13,"Oct 9, 2003 to Feb 19, 2004","Action, Drama, Sci-Fi",7.39
Hikaru no Go,Hikaru no Go,75,"Oct 10, 2001 to Mar 26, 2003","Comedy, Drama, Supernatural",8.08
Hunter x Hunter,Hunter x Hunter,62,"Oct 16, 1999 to Mar 31, 2001","Action, Adventure, Fantasy",8.41
Hunter x Hunter: Original Video Animation,UNKNOWN,8,"Jan 17, 2002 to Apr 17, 2002","Action, Adventure, Fantasy",8.31
Hunter x Hunter: Greed Island,UNKNOWN,8,"Feb 5, 2003 to Apr 16, 2003","Action, Adventure, Fantasy",8.18
Hunter x Hunter: Greed Island Final,UNKNOWN,14,"Mar 3, 2004 to Aug 18, 2004","Action, Adventure, Fantasy",8.25
Jinki:Extend,Jinki: Extend,12,"Jan 6, 2005 to Mar 24, 2005",Sci-Fi,6.1
Kamikaze Kaitou Jeanne,UNKNOWN,44,"Feb 13, 1999 to Jan 29, 2000","Action, Drama, Mystery, Romance, Supernatural",7.46
Kanon,UNKNOWN,13,"Jan 31, 2002 to Mar 28, 2002","Drama, Romance, Supernatural",7.07
Kareshi Kanojo no Jijou,His and Her Circumstances,26,"Oct 2, 1998 to Mar 26, 1999","Comedy, Drama, Romance",7.59
Kimi ga Nozomu Eien,Rumbling Hearts,14,"Oct 5, 2003 to Jan 4, 2004","Drama, Romance",7.18
Kita e.: Diamond Dust Drops,Diamond Daydreams,12,"Jan 20, 2004 to Apr 5, 2004","Drama, Romance",6.56
Blood+,Blood+,50,"Oct 8, 2005 to Sep 23, 2006","Action, Drama, Horror, Mystery, Supernatural",7.62
Solty Rei,UNKNOWN,24,"Oct 7, 2005 to Mar 31, 2006","Action, Sci-Fi",7.27
Juuni Kokuki,The Twelve Kingdoms,45,"Apr 9, 2002 to Aug 30, 2003","Action, Adventure, Fantasy",8.02
Shaman King,Shaman King,64,"Jul 4, 2001 to Sep 25, 2002","Action, Adventure, Comedy, Supernatural",7.75
X/1999,X - The Movie,1,"Aug 3, 1996","Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",6.57
X,X,24,"Oct 3, 2001 to Mar 27, 2002","Action, Drama, Fantasy, Romance",7.4
