Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Thibaut Courtois,GK,Belgium,30-221,Real Madrid,3,0,0,129.0,123.0
Thilo Kehrer,DF,Germany,26-088,West Ham,1,0,0,43.0,29.0
Thomas Delaney,MF,Denmark,31-106,Sevilla,1,0,0,31.0,29.0
Thomas Meunier,DF,Belgium,31-097,Dortmund,3,3,0,167.0,147.0
Thomas Müller,FW,Germany,33-096,Bayern Munich,3,3,0,91.0,78.0
Thomas Partey,MF,Ghana,29-188,Arsenal,3,2,0,220.0,176.0
Thorgan Hazard,FW,Belgium,29-264,Dortmund,2,0,0,66.0,58.0
Tim Ream,DF,United States,35-074,Fulham,4,1,0,305.0,276.0
Timothy Castagne,DF,Belgium,27-013,Leicester City,3,0,0,229.0,202.0
Timothy Weah,FW,United States,22-299,Lille,4,5,1,132.0,108.0
Toby Alderweireld,DF,Belgium,33-291,Antwerp,3,0,0,303.0,273.0
Trent Alexander-Arnold,DF,England,24-072,Liverpool,1,0,0,24.0,23.0
Tyler Adams,MF,United States,23-307,Leeds United,4,1,0,307.0,271.0
Unai Simón,GK,Spain,25-190,Athletic Club,4,0,0,167.0,160.0
Uriel Antuna,FW,Mexico,25-119,Cruz Azul,3,2,0,33.0,20.0
Vanja Milinković-Savić,GK,Serbia,25-301,Torino,3,0,0,136.0,125.0
Victor Nelsson,DF,Denmark,24-065,Galatasaray,1,0,0,79.0,74.0
Vincent Aboubakar,FW,Cameroon,30-330,Al-Nassr,3,6,2,50.0,31.0
Vincent Janssen,FW,Netherlands,28-186,Antwerp,2,2,0,32.0,20.0
Vinicius Júnior,FW,Brazil,22-159,Real Madrid,4,9,1,132.0,90.0
Virgil van Dijk,DF,Netherlands,31-163,Liverpool,5,3,0,399.0,356.0
Vitinha,MF,Portugal,22-308,Paris S-G,3,2,0,118.0,108.0
Wahbi Khazri,FW,Tunisia,31-313,Montpellier,2,5,1,36.0,20.0
Wajdi Kechrida,DF,Tunisia,27-043,Atromitos,3,0,0,77.0,69.0
Walid Cheddira,FW,Morocco,24-330,Bari,2,2,0,18.0,8.0
Walker Zimmerman,DF,United States,29-213,Nashville,4,1,0,274.0,244.0
Wataru Endo,MF,Japan,29-312,Stuttgart,4,6,0,239.0,192.0
Wayne Hennessey,GK,Wales,35-328,Nott'ham Forest,2,0,0,68.0,66.0
Weston McKennie,MF,United States,24-112,Juventus,4,5,0,177.0,153.0
William Carvalho,MF,Portugal,30-255,Betis,4,1,0,182.0,170.0
William Saliba,DF,France,21-269,Arsenal,1,0,0,38.0,37.0
Wojciech Szczęsny,GK,Poland,32-244,Juventus,4,0,0,159.0,142.0
Wout Weghorst,FW,Netherlands,30-133,Beşiktaş,4,2,2,22.0,15.0
Wéverton,GK,Brazil,35-005,Palmeiras,1,0,0,5.0,5.0
Xavi Simons,FW,Netherlands,19-241,PSV Eindhoven,1,0,0,11.0,10.0
Xherdan Shaqiri,FW,Switzerland,31-069,Chicago Fire,3,4,1,111.0,104.0
Yahya Attiat Allah,DF,Morocco,27-291,Wydad Casablanca,6,2,0,167.0,137.0
Yahya Jabrane,MF,Morocco,31-183,Wydad Casablanca,2,0,0,,
Yann Sommer,GK,Switzerland,34-001,M'Gladbach,3,0,0,126.0,118.0
Yannick Carrasco,FW,Belgium,29-105,Atlético Madrid,2,4,0,68.0,46.0
Yasser Al-Shahrani,DF,Saudi Arabia,30-207,Al-Hilal,1,0,0,43.0,29.0
Yassine Bounou,GK,Morocco,31-257,Sevilla,6,0,0,219.0,209.0
Yassine Meriah,DF,Tunisia,29-169,Espérance de Tunis,3,1,0,208.0,171.0
Yeltsin Tejeda,MF,Costa Rica,30-276,Club Sport Herediano,3,2,1,128.0,99.0
Youri Tielemans,MF,Belgium,25-225,Leicester City,3,0,0,77.0,64.0
Youssef En-Nesyri,FW,Morocco,25-200,Sevilla,7,9,2,127.0,81.0
Youssef Msakni,MF,Tunisia,32-051,Al-Arabi SC,2,9,0,95.0,69.0
Youssouf Fofana,MF,France,23-342,Monaco,6,4,0,138.0,112.0
Youssouf Sabaly,DF,Senegal,29-288,Betis,4,2,0,253.0,219.0
Youssoufa Moukoko,FW,Germany,18-028,Dortmund,1,0,0,2.0,2.0
Youstin Salas,DF,Costa Rica,26-184,Deportivo Saprissa,2,0,0,27.0,19.0
Yuki Soma,FW,Japan,25-296,Grampus,1,3,0,26.0,19.0
Yunus Musah,MF,United States,20-019,Valencia,4,4,0,221.0,182.0
Yuto Nagatomo,MF,Japan,36-097,FC Tokyo,4,0,0,123.0,109.0
Zakaria Aboukhlal,FW,Morocco,22-303,Toulouse,4,3,1,26.0,14.0
Álvaro Morata,FW,Spain,30-056,Atlético Madrid,4,8,3,58.0,41.0
Álvaro Zamora,MF,Costa Rica,20-284,Deportivo Saprissa,1,0,0,9.0,5.0
Ángel Correa,MF,Argentina,27-284,Atlético Madrid,1,0,0,6.0,3.0
Ángel Di María,MF,Argentina,34-307,Juventus,5,6,1,201.0,168.0
Ángelo Preciado,DF,Ecuador,24-303,Genk,3,4,0,162.0,129.0
Éder Militão,DF,Brazil,24-334,Real Madrid,4,5,0,306.0,277.0
Óscar Duarte,DF,Costa Rica,33-198,Al-Wehda,3,0,0,132.0,98.0
İlkay Gündoğan,MF,Germany,32-055,Manchester City,3,5,1,187.0,168.0
