Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Leander Dendoncker,DF,Belgium,27-247,Aston Villa,2,1,0,142.0,122.0
Leandro Paredes,MF,Argentina,28-172,Juventus,5,1,0,269.0,246.0
Leandro Trossard,FW,Belgium,28-014,Brighton,3,0,0,66.0,57.0
Lee Jae-sung,MF,Korea Republic,30-130,Mainz 05,3,1,0,116.0,97.0
Lee Kangin,MF,Korea Republic,21-302,Mallorca,4,5,0,91.0,77.0
Leon Goretzka,MF,Germany,27-315,Bayern Munich,3,4,0,72.0,57.0
Leroy Sané,FW,Germany,26-341,Bayern Munich,2,3,0,68.0,58.0
Liam Millar,DF,Canada,23-082,Basel,1,0,0,9.0,9.0
Lionel Messi,FW,Argentina,35-177,Paris S-G,7,27,7,460.0,372.0
Lisandro Martínez,DF,Argentina,24-334,Manchester Utd,5,1,0,188.0,156.0
Lovro Majer,MF,Croatia,24-335,Rennes,7,4,1,122.0,98.0
Loïs Openda,FW,Belgium,22-305,Lens,1,0,0,9.0,5.0
Lucas Cavallini,FW,Canada,29-355,Vancouver,1,0,0,3.0,2.0
Lucas Hernández,DF,France,26-307,Bayern Munich,1,0,0,10.0,10.0
Lucas Paquetá,MF,Brazil,25-113,West Ham,4,4,1,229.0,202.0
Luis Chávez,MF,Mexico,26-337,Pachuca,3,10,1,171.0,139.0
Luis Suárez,FW,Uruguay,35-328,Nacional,3,2,0,52.0,40.0
Luka Jović,FW,Serbia,24-360,Fiorentina,1,2,0,14.0,10.0
Luka Modrić,MF,Croatia,37-100,Real Madrid,7,6,0,615.0,551.0
Lukas Klostermann,DF,Germany,26-198,RB Leipzig,2,0,0,56.0,52.0
Luke Shaw,DF,England,27-159,Manchester Utd,5,3,0,419.0,400.0
Luuk de Jong,FW,Netherlands,32-113,PSV Eindhoven,1,1,0,19.0,12.0
Majid Hosseini,DF,IR Iran,26-181,Kayserispor,3,0,0,137.0,106.0
Manuel Akanji,DF,Switzerland,27-152,Manchester City,4,4,1,287.0,259.0
Manuel Neuer,GK,Germany,36-266,Bayern Munich,3,0,0,133.0,127.0
Marcelo Brozović,MF,Croatia,30-032,Inter,6,4,0,594.0,530.0
Marco Asensio,FW,Spain,26-331,Real Madrid,4,10,1,150.0,119.0
Marcos Acuña,DF,Argentina,31-051,Sevilla,6,2,0,269.0,217.0
Marcos Llorente,DF,Spain,27-322,Atlético Madrid,1,1,0,107.0,106.0
Marcus Rashford,FW,England,25-048,Manchester Utd,5,11,3,92.0,66.0
Marcus Thuram,FW,France,25-134,M'Gladbach,5,1,0,74.0,39.0
Mario Götze,MF,Germany,30-198,Eint Frankfurt,2,1,0,31.0,23.0
Mario Pašalić,FW,Croatia,27-312,Atalanta,7,3,0,132.0,95.0
Mark-Anthony Kaye,MF,Canada,28-016,Toronto FC,1,1,0,68.0,61.0
Marko Grujić,MF,Serbia,26-249,Porto,1,1,0,20.0,17.0
Marko Livaja,FW,Croatia,29-114,Hajduk Split,6,6,1,83.0,58.0
Marquinhos,DF,Brazil,28-218,Paris S-G,5,2,0,392.0,368.0
Marten de Roon,MF,Netherlands,31-264,Atalanta,5,0,0,142.0,119.0
Martin Braithwaite,FW,Denmark,31-196,Espanyol,2,1,0,24.0,20.0
Martin Hongla,MF,Cameroon,24-277,Hellas Verona,2,1,0,73.0,61.0
Martinelli,FW,Brazil,21-183,Arsenal,3,4,0,70.0,45.0
Martín Cáceres,DF,Uruguay,35-255,LA Galaxy,1,0,0,83.0,79.0
Mason Mount,MF,England,23-342,Chelsea,4,4,0,91.0,73.0
Mateo Kovačić,MF,Croatia,28-226,Chelsea,7,3,0,521.0,460.0
Matheus Nunes,MF,Portugal,24-113,Wolves,2,1,0,39.0,33.0
Mathew Leckie,MF,Australia,31-317,Melb City,4,1,1,157.0,103.0
Mathew Ryan,GK,Australia,30-254,FC Copenhagen,4,0,0,176.0,164.0
Mathias Jensen,MF,Denmark,26-351,Brentford,2,2,0,76.0,67.0
Mathías Olivera,DF,Uruguay,25-048,Napoli,3,2,0,178.0,133.0
Matt Turner,GK,United States,28-177,Arsenal,4,0,0,137.0,128.0
Matthias Ginter,DF,Germany,28-333,Freiburg,1,0,0,3.0,3.0
Matthijs de Ligt,DF,Netherlands,23-128,Bayern Munich,2,0,0,49.0,45.0
Matty Cash,DF,Poland,25-133,Aston Villa,4,1,0,197.0,160.0
Mattéo Guendouzi,FW,France,23-248,Marseille,1,0,0,36.0,33.0
Matías Vecino,MF,Uruguay,31-116,Lazio,3,1,0,130.0,106.0
Matías Viña,DF,Uruguay,25-039,Roma,2,0,0,26.0,21.0
Maxi Gómez,FW,Uruguay,26-126,Trabzonspor,2,2,0,9.0,7.0
Maya Yoshida,DF,Japan,34-116,Schalke 04,4,0,0,277.0,232.0
Mehdi Taremi,FW,IR Iran,30-153,Porto,3,5,2,123.0,78.0
Mehdi Torabi,MF,IR Iran,28-099,Persepolis,3,2,0,48.0,37.0
Memphis,FW,Netherlands,28-308,Barcelona,5,10,1,165.0,123.0
Meshaal Barsham,GK,Qatar,24-307,Al Sadd SC,2,0,0,69.0,63.0
Michael Estrada,FW,Ecuador,26-255,Cruz Azul,3,3,0,71.0,50.0
Michał Skóraś,MF,Poland,22-306,Lech Poznań,1,1,0,12.0,9.0
Michel Aebischer,MF,Switzerland,25-346,Bologna,1,0,0,4.0,4.0
Michy Batshuayi,FW,Belgium,29-077,Fenerbahçe,2,6,1,42.0,24.0
Miki Yamane,DF,Japan,28-361,Kawa Frontale,1,0,0,36.0,33.0
Mikkel Damsgaard,MF,Denmark,22-168,Brentford,3,0,0,91.0,72.0
Milad Mohammadi,DF,IR Iran,29-080,AEK Athens,3,0,0,90.0,68.0
Milan Borjan,GK,Canada,35-056,Red Star,3,0,0,105.0,98.0
Miloš Degenek,DF,Australia,28-234,Columbus Crew,4,0,0,123.0,101.0
Miloš Veljković,DF,Serbia,27-083,Werder Bremen,3,0,0,127.0,112.0
Mislav Oršić,FW,Croatia,29-354,Dinamo Zagreb,6,9,1,81.0,54.0
