date,city,state,shape,comments
2025-02-27,Laguna Beach,CA,Triangle,Saw a large triangle craft standing on the beach
2025-02-25,Loma Linda,CA,Sphere,"Tonight, we saw a stationary, dimly-lit orb or sphere 1/3 size of moon in SW sky having possibly six total vertical, shallow grooves."
2025-02-25,Bloomington,CA,Formation,Fleet of UFO heading north east
2025-02-24,Big Sur,CA,Circle,"Two round, stationary yellow lights (like head lights) spaced approx. mile apart, in sky, high above the horizon that went black"
2025-02-22,Santa Maria,CA,Orb,"Slow moving orb, changed directions & dropped 30-40 red objects"
2025-02-22,Sugarpine,CA,Circle,I stopped to have a cig I noticed a bright blue light coming my way then it enlarged and changed to shimmering orange
2025-02-21,Mountain View,CA,Cigar,"The object was visible with a naked eye and a mobile phone, as an elongated streak with a metallic glow from the Sun."
2025-02-21,Lake Elsinore,CA,Cylinder,"A cylindrical Gray object went flying past the sky, crossing another flight path of two aircraft"
2025-02-21,Murrieta,CA,Circle,Three different Items noticed all at once!
2025-02-19,Ukiah,CA,Other,Black Jellyfish UAP above the 101 freeway Northern California
2025-02-17,Red Bluff,CA,Light,"High up in the western sky is where we saw 4-5 tiny lights moving around, coming and going. Brite, then dim, then disappear."
2025-02-17,Pinyon Well,CA,Changing,Strange streak pattern and light movement captured on 10 second exposure picture
2025-02-16,Folsom,CA,Other,"Imperfect rectangle, possibly vertically long pentagram moving spotted above old folsom"
2025-02-16,Colton,CA,Orb,4 red orbs drifting south
2025-02-14,Aguanga,CA,Unknown,I watched what I thought was a drone fly close to me within 15 ft above and then realized it was an angler fish looking drone
2025-02-14,Modesto,CA,Orb,Orb kept on moving then it dissapeared and while it was occurring my phone was very static
2025-02-13,Tracy,CA,Light,It was 7:15 in the evening on the 13th there was a huge light hiding behind some very dark clouds in the south east.
2025-02-11,San Diego,CA,Triangle,We saw a large black triangle with curved corners flying very fast in the air
2025-02-10,Fremont,CA,Light,A light object with a very strange cloud formation extended after it
2025-02-10,Merced,CA,Changing,A zig zag stream of white with a central light moving from it creating a round span of white equidistant from the center and all around
2025-02-10,Bakersfield,CA,Circle,We were in the backyard around 6pm when my wife saw this thing flying in the sky with a red trail it soon stopped and changed to a blue
2025-02-10,Roseville,CA,Oval,"Bright Multi-Colored UAP Over Freeway in Roseville, CA – Morphing, Silent, Hovering Above Stationary Ground Lights – Feb 10, 2025"
2025-02-08,Rocklin,CA,Orb,"First orb-- the size of Vega in night sky-- slowed to a stop in front of Vega. Within 30 seconds, multiple smaller blue orbs on display"
2025-02-06,Oroville,CA,Cross,"It looked like a boomerang, but then I remembered that boomerangs would be spinning, that cross was just there with a faint white light"
2025-02-05,Pearblossom,CA,Light,Sitting in the car with my wife we pulled over to rest and an orange light appeared from that light another came out of it making two
2025-02-03,Stockton,CA,Teardrop,A blue-lighted craft performed zigzag jumps in the sky just below the clouds.
2025-02-03,Menlo Park,CA,Orb,Stationary orbs of light spotted at a distance. Only appeared at night.
