date,city,state,shape,comments
2020-03-08,Los Angeles,CA,Fireball,"Four orange/yellow fireballs were seen off in the distance as planes were descending nearby. Slowly, 2 of them faded out like a shootin"
2020-03-08,Oxnard,CA,Changing,Morphing UFO from airplane/tic tac shape to suspended triangular shape over ocean using electromagnetic waves
2020-03-07,Carmichael,CA,Circle,Unknown flying craft circle in shape and dark grey ship approx. 40’ in diameter.
2020-03-06,Grass Valley,CA,Light,Amazing straight line of 30+ lights traveling through the sky at a high rate of speed spaced equally.  ((Starlink satellites))
2020-03-06,El Cajon/La Mesa,CA,Other,It was the middle of the day. I saw 5 metal helmet shaped craft flying in a diagonal upside down L formation right very quickly .
2020-03-05,Madera,CA,Circle,"30 to 40 white lights flying in formation, all equally apart in straight line.  ((Starlink satellites))"
2020-03-05,Santa Clarita,CA,Other,Driving north on rail Road in Santa Clarita/Valencia California at approximately 6:15 PM Pacific standard time. I was with my wife and
2020-03-05,Madera,CA,Formation,We saw 8 lights in formation evenly spaced and moving at a high rate of speed. We then saw other lights in formation about 2-3 minutes
2020-03-04,Pittsburg,CA,Light,"I kept seein a light come from behind the cloud and then I seen another and then another.  ((""Starlink"" satellites??))((anonymous))"
2020-03-04,Fresno,CA,Light,"About 20-30 lights in total appeared in the night sky, traveling in the same trajectory. ((""Starlink"" satellites??))"
2020-03-04,Vacaville,CA,Orb,"Lights very high in the atmosphere passed over 1 at a time spaced evenly and in a straight line. ((""Starlink"" satellites??))"
2020-03-04,Tracy,CA,Formation,12 lights traveling behind each other-then fading.  ((Starlink satellites??))((anonymous))
2020-03-04,Galt,CA,Light,"Formations of 25-30 lights that followed closely, clearly see them climbing in elevation .  ((""Starlink"" satellites??))"
2020-03-04,Atascadero,CA,Light,"1 object fly through 2 other objects and then it stopped after that 20 objects in the same pattern. ((""Starlink"" satellites??))((anon))"
2020-03-04,Half Moon Bay,CA,Formation,"Multiple satellite-looking lights travelling in multiple single file formation.   ((""Starlink"" satellites??))"
2020-03-04,Oakland,CA,Light,Lights in the night sky leaving in a straight line.  ((Starlink satellites??))
2020-03-03,Daly City,CA,Orb,"I stepped outside, & saw a light move faster than any satellite I've ever seen move east to west under the moon and disappear."
2020-03-03,Covina,CA,Other,Got video & still frame from video blown up showing object above my house in broad daylight
2020-03-02,Lakeside,CA,Changing,Bright light with shifting shapes. At times had chevrons emanating slowly changing to ball of light with a ball of red appearing at the
2020-03-02,Gasquet,CA,Orb,"24 objects seen in early morning sky flying in tandem at high speed.    ((""Starlink satellites??))"
2020-02-29,Anderson,CA,Orb,Neon orange lights took off in northwestern upward trajectory and then disappeared. The first craft split into two separate circular or
2020-02-29,Los Angeles,CA,Circle,8 ufo’s over Los Angeles
2020-02-29,Pomona,CA,Light,"Approx 5:30am observed 20-30 bluish white lights traveling Southwest to Northeast . ((""Starlink satellites??))"
2020-02-29,Huntington beach,CA,Other,"20-30 lights if not more in a straight line flying swift and low.   ((""Starlink satellites??))((anonymous))"
2020-02-28,Scottsdale,CA,Cigar,"Very bright object flying below the cloud cover over North Scottsdale, Arizona"
2020-02-28,Compton,CA,Circle,"While outside to have a cigarette, I looked up to the  2 o clock position of a compass being North and I saw that would to appear as ei"
2020-02-27,Vista,CA,Circle,White circle (not flashing) followed by a red circle (not flashin) about 100ft. Away. Hong way quicker than planes the all of a sudden
2020-02-27,Antelope,CA,Formation,"it was very dark as i watched them move acrss the sky.  ((""Spacelink"" satellites??))"
2020-02-27,Hoopa,CA,Light,"This morning about 5am there were 60-100 ufo objects in a single file line same distant apart ((""Spacelink"" satellites??))"
2020-02-27,Porterville,CA,Light,"Formation of flying objects coming from northwest heading southeast. At least 30 counted. ((""Spacelink"" satellites??))"
2020-02-27,El Sobrante,CA,Circle,"There were 20 to 30 Lights flying in a single formation real fast.  ((""Starlink"" satellites??))"
2020-02-27,Carson,CA,Light,It was a blue light with unfamiliar movement going straight then disappearing in thin air it wasn't a falling star because it was trave
2020-02-26,Valencia,CA,Circle,7 white circular flying objects in a clear blue sky
2020-02-26,Kelseyville,CA,Light,"Not necessarily UFO's just never seen before!  8 objects perfectly spaced.  ((""Spacelink"" satellites??))"
2020-02-26,"Northeast of Mar Vista, Los Angeles",CA,Teardrop,"Teardrop, low, short-lived light stream seen"
2020-02-25,Daly City,CA,Fireball,"A big, bright fireball streaked across the sky for about 3-4 seconds, and then broke up into pieces. ((anonymous))"
2020-02-25,Strathmore/Porterville,CA,Formation,"COLORED LIGHTS VERY HIGH IN SKY EAST OF STRATHMORE/PORTERVILLE, CA."
2020-02-24,Hanford,CA,Light,Three lights lined up letting off other star like lights
2020-02-24,Jenner,CA,Light,Bright moving light in the western sky.  ((NUFORC Note:  Possible sighting of Venus?  PD))
2020-02-23,Stockton,CA,Formation,Formation of light that slowly disappears into the the night.
2020-02-23,Santa Ana,CA,Light,"Hello, I wasn't sure who to contact about this video I took, but I'm just wanting to know what it is that I saw, hope you can help."
2020-02-23,San Francisco,CA,Orb,Long line of multiple white orbs traveling inland from pacific ocean over San Francisco - just before sunrise
2020-02-23,Hollister,CA,Circle,This photo was captured on a house camera at 1241 mariposa the photo captured my aunts house at 160 miller rd and in the photo it clear
2020-02-22,Antelope,CA,Circle,Blue/White lights observed from the south.  Proceeded north directly above us and disappeared in the distance.  Multiple craft with con
2020-02-22,La Mesa,CA,Light,Blue disappearing ball of light.
2020-02-21,San Diego (Palomar Mountains),CA,Light,a strike of light then a bright white light that moved crazy fast and would somtimes flash
2020-02-20,Nipomo,CA,Circle,Round object floats in the sky
2020-02-20,Temecula,CA,Disk,Objects were flying very high and circling. They started to straighten out when two of them shot off in the opposite direction. Lost si
2020-02-19,Apple Valley,CA,Disk,"I was looking up North for a very loud fighter jet, bus instead i seen 11 disk flying east moving slow and exchanging places one would"
2020-02-19,Santee,CA,Unknown,"Three separate fast moving objects left a trail behind them from 22,000 to about 5,000 feet and began to group together"
2020-02-18,Stockton,CA,Light,Bright mini colored Blobs of light flying across the sky
2020-02-18,Ojai,CA,Other,"Something on dark side of the moon , I have photo  there was a bright light on the dark side"
2020-02-18,Los Angeles,CA,Circle,"Three dim objects moving in the same direction at different times.  ((""Starlink"" satellites??))"
2020-02-17,Port Hueneme,CA,Circle,My first actual sighting of something that cant be explained that was not on a tv show or in a video game.
2020-02-17,Modesto,CA,Orb,2 stationary bright star-like white lights seen in a pair that then faded simultaneously in about 15 seconds.
2020-02-17,Moreno Valley,CA,Triangle,Traingle ufo with lights spotted in moreno valley
2020-02-16,Cardiff By The Sea,CA,Disk,Scripps San Diego UFO Pair of Oscillating Discs With Spokes
2020-02-15,Redlands,CA,Teardrop,"Large glowing green, comet shaped object, flying North over Redlands and then “winks” out of existence before reaching the horizon."
2020-02-15,Grand Terrace,CA,Orb,Bright blue orb hovering and shooting out of sight.
2020-02-15,North Hollywood,CA,Formation,"Glinting formation, multiple objects."
2020-02-14,Alamo,CA,Circle,"Noticed a light hovering too bright too low to be a star , filmed object for app.5 mins zoomed in appeared to be a spinning bluish ligh"
2020-02-14,San Francisco,CA,Unknown,Something extremely bright flew by my bedroom window with a high pitched sound woooooo.  Half of my room was lit with a flash of light.
2020-02-13,Carlsbad,CA,Chevron,"Un-lit, silent V shaped object seen and illuminated from the ground"
2020-02-11,San Francisco,CA,Egg,Weird bright and big orb that had large spikes and was larger than a star and higher up than any plane
2020-02-10,Clearlake,CA,Unknown,"Multiple crafts seen over Clearlake, seen descending to Mt. Konocti"
2020-02-10,Calaveras County,CA,Light,"Large, round, bright white light rapidly ascended and disappeared in seconds, without decreasing size, into clear night sky."
2020-02-10,El Dorado Hills,CA,Changing,"I was taking a picture of a Mt. Diablo, during sunset on an extremely clear day, while visiting our friends."
2020-02-10,Ventura,CA,Light,"Saw lights quickly go into cloud, about 3 single file, then behind them several started coming in one by one quickly...we waited for th"
2020-02-10,Temecula,CA,Formation,"8 lights in a straight line, evenly spaced traveling SW to NE. ((""Starlink"" satellites??))"
2020-02-09,Montara,CA,Circle,Glowing UFO’s over the ocean
2020-02-09,McKinleyville,CA,Light,"20 or thirty lights appearing out of nowhere , evenly space headed east southeast."
2020-02-09,Roseville,CA,Light,"Up to 15 white lights seen flying in a single file like formation over Roseville, Ca. at 5:30 a,m. on 2/09/20 going from north to south"
2020-02-08,Sacramento,CA,Unknown,Triangle blinking lights.
2020-02-08,Yucca Valley,CA,Light,"Three lights arranged themselves into a triangle up on the sky and one by one they flashed a light; flash, flash, flash."
2020-02-08,Ukiah,CA,Unknown,Lights in the early moring sky!
2020-02-08,Nevada city,CA,Oval,"30 UFO's in a uniform line over the Nor-Cal pre-dawn sky, 02/08/2020"
2020-02-07,Berkeley,CA,Triangle,"Three dim lights in a triangle, and two others, all moving across the sky."
2020-02-07,Patterson,CA,Changing,Thought I seen 2 jets ready to cross over each other turned out to be only 1 jet and a UFO that at one point looked like a jet.
2020-02-07,Lakeside,CA,Formation,Ten craft where seen flying over Lakeside in formation at a high rate of speed.Headed East by North East.9 in a row with 1 straggler. T
2020-02-07,Palmdale,CA,Triangle,I was going out side for my morning smoke when i saw a triangle ufo flying extremely low then i noticed it wasnt alone there were many
2020-02-07,Ventura,CA,Formation,"line formation of moving lights.  ((""Starlink: satellites??))"
2020-02-06,Rio Linda,CA,Circle,Black bell shaped UFO and a black circle UFO stood 5 hours or more couple miles into sky the closest I have ever seen it that's so far.
2020-02-03,San Diego,CA,Fireball,Watched 3 UFO's all with bright orange color navigate the San Diego skies
2020-02-02,Ojai,CA,Diamond,2 people observed large white diamond-shaped object flash across NW sky.
2020-02-01,Palm Springs,CA,Fireball,Orange glowing lights moving in the sky
2020-02-01,West Covina,CA,Formation,Several white lights in triangular formation around the moon
2020-02-01,Santa Paula,CA,Other,"I was driving on Telegraph Rd. in the city of Santa Paula, heading in a northeastern direction. I was speaking on the phone with my boy"
2020-01-30,San marcos,CA,Other,Four lights in a single line in the eastern sky.  Lights were Low on the horizon.  Lights were traviling slowly to the north.
2020-01-30,San Bernardino,CA,Flash,Strange flash of light in the sky and trails of objects falling out of the sky toward the mountains 01/30/20. 01/31/20 1 witness of 6 s
2020-01-29,Garden Grove,CA,Fireball,Golden Meteor.
2020-01-29,San Diego,CA,Fireball,meteor or space junk?
2020-01-29,Bakersfield,CA,Triangle,Snapped in in a picture while attending my grandfathers funeral.
2020-01-29,Bakersfield,CA,Changing,One orange object with tail following turned into three objects. All had tails at first then were orange lights. Could have moved aroun
2020-01-28,North Hollywood,CA,Other,2 observers. Brightness of Jupiter.  Conscious attention scared em away.  Immediate reaction.
2020-01-28,Woodland,CA,Orb,"As I was leaving work on Tuesday (1/28/2020), I looked to the night sky and saw about five (possibly more) orange orbs in the sky. They"
2020-01-27,Lakewood,CA,Unknown,Large red pulsating light vanished.
2020-01-26,Fairfax,CA,Fireball,low and close extremely bright white fireball Fairfax CA followed by loud boom.
2020-01-26,Santa Rsoa,CA,Cylinder,"Bright green glowing cylinder, flying horizontally, in a steady direct line, disappearing abruptly without arcing, falling or flaring."
2020-01-23,Marin County,CA,Cylinder,Stationary groups of  glowing lights seen at treetop level
2020-01-22,San Francisco,CA,Circle,White star craft unseen by naked eye
2020-01-22,Ripon,CA,Cigar,"We were traveling south on highway 99 passing through Ripon, CA .  I was looking at the clouds against the beautiful color of blue sky."
2020-01-21,Canyon Country,CA,Light,"Moving slow In sky like 10 sec pass over shadow pine.  ((""Starlink"" satellites??))"
2020-01-20,Temple City,CA,Changing,"Metallic Floating object determined not to be a plane, drone, helicopter or otherwise non-conventional flying object. Change shape and"
2020-01-19,Coachella,CA,Fireball,Driving down Frederick st coming to stop light on. Ave 52 when we saw what looked like 3 fireballs coming down but  instead of just fal
2020-01-18,La Mesa,CA,Fireball,Orange fireball dropping a flare
2020-01-18,Baldwin Hills Estates,CA,Orb,Cloned Stars
2020-01-17,Carlsbad,CA,Other,"I was in bed asleep, when a bright red light illuminated our bedroom. I woke up and laid still staring at the red orb the size of a soc"
2020-01-17,Downey,CA,Sphere,"A solid round(luminate) green light with no sound, I'm not going to lie I was kind of scary."
2020-01-16,Standish,CA,Light,"50-100 lights traveling across the sky in same path at same speed.  ((""Starlink"" satellites??))"
2020-01-16,Isleton,CA,Cross,Too warm yellow orange lights dance in dirt across the sky almost every night of the year in a repeatable fashion.
2020-01-15,Oroville,CA,Light,"Looked like white feathers,in formation traveling across the sky. 500 ft in altitude , and 75 ft wide. ((""Starlink"" satellites??))"
2020-01-15,Chula Vista,CA,Cigar,"this ufo stayed on one course, but had this really intense glow to it. It was glowing so much that I couldn’t tell what kind of shape t"
2020-01-15,Porterville,CA,Formation,"Stars moving in perfect line  ((""Starlink"" satellites??))"
2020-01-15,Los Angeles,CA,Sphere,I awoke to find an udulating beach ball sized black sphere hovering in my kitchen.
2020-01-14,Maxwell,CA,Formation,"Fleet of 8 to 10 lights, 3 at a time appearing, then disappearing.  ((""Starlink"" satellites??))"
2020-01-14,Riverside,CA,Triangle,I was driving south on Brockton Ave between Magnolia Ave and Arlington Ave. On the south side of the sky appeared three circles of abo
2020-01-14,Patterson,CA,Circle,Ballon type ufo just hovering over house about a 90’ up then implode in on itself and gone. Same as yesterday.
2020-01-13,Morro Bay,CA,Formation,String of 20 lights in formation west to east over north San Luis Obis county  CA.
2020-01-13,Morro Bay,CA,Formation,"String of 20 lights in formation west to east over north San Luis Obis county CA.  ((""Starlink"" satellites??))"
2020-01-13,Patterson,CA,Circle,Round white object looked like a balloon hovered for 20 minutes then gone.
2020-01-12,Apple Valley,CA,Other,Traveling West on Hwy 18 between 7th St and the 15 Fwy 2 hexagon shaped objects appeared at cloud level pointed South bound. They were
2020-01-11,Visalia,CA,Formation,Me and my husband noticed three bright lights in the formation of a triangle just sitting in the sky. We thought they were stars and as
2020-01-11,Los angeles,CA,Light,Working light 5x the speed of sound.
2020-01-10,San Leandro,CA,Other,I sit at the marina every morning for the sunrise to meditate and this morning I noticed above the cloud and fog line would appear to b
2020-01-08,Oceanside,CA,Light,Driving down the interstate going Northbound on I-5 and noticed one object in the sky with a red flashing strobe flying abnormally low
2020-01-08,Santa Monica,CA,Light,Bright stationary light in Western sky above Santa Monica.  ((NUFORC Note:  Venus??  PD))
2020-01-07,Orange County,CA,Formation,"Lights in straight line formation, moving slow but fading away real fast.((""Starlink"" satellites??))"
2020-01-07,Mission viejo,CA,Other,It looked like a white light stick in the sky it was canted to the right. It was moving south towards San clemente. There were 2 bright
2020-01-07,Ramona,CA,Formation,"Ling string of lights heading south east that appear in orbit. Various brightness for each of the lights. ((""Starlink"" satellites??))"
2020-01-06,Los Angeles,CA,Fireball,Bright red speeding fireball.
2020-01-06,Sonoma,CA,Triangle,"Every night I heard a strange sound outside, and I saw a huge black triangular object floating in the sky."
2020-01-06,Temecula,CA,Triangle,Object was moving faster than any aircraft I've ever seen.
2020-01-05,Goleta,CA,Sphere,UFO Goleta Isla Vista Hovering Over The Ocean 1/5/20
2020-01-04,Redlands,CA,Circle,Spotted green object moving are high speed and disappearing.
2020-01-04,Huntington Park,CA,Triangle,First I heard this loud noise above my head then I looked up looking for a big airplane as I live 14 miles from LAX. What I saw was ama
2020-01-03,Sherman Oaks,CA,Triangle,Dark black silent triangle flying low
2020-01-02,Rosemead,CA,Circle,I seen a circle light pass by so fast and disappeared within maybe 4/5 second and then 3 circle lights  ((anonymous report))
2020-01-01,Cambria,CA,Cylinder,Driving on highway 1 and just when i looked up i saw a dome shaped cylinder soaring super fast through the sky . ((anonymous report))
2020-01-01,Los Angeles,CA,Disk,I witnessed disc/saucershaped object over Angeles forest. I was looking towards NEt from west la parking garage.  ((anonymous))
2020-01-01,Bakersfield,CA,Circle,Bakersfield CA New Year’s Eve at midnight. Three yellow circles.
2020-01-01,El Centro,CA,Orb,Red orb floats slowly changing direction then disappears
2019-12-31,Los Angeles,CA,Light,"I was driving back from Magic Mountain with my daughter and her boyfriend( both was on the phone) Suddenly, out of the blue, this huge"
2019-12-31,San Diego,CA,Unknown,"I noticed a series of lights that appeared on the top right corner of the frame ((""Starlink"" satellites??))"
2019-12-31,Tustin,CA,Circle,"Dark center, with a very bright glow around it slowly moving through the sky"
2019-12-30,Gasquet,CA,Orb,"3:31 AM 12/30/19 Gasquet, Del Norte Cnty, CA Round object moving like a heart-beat monitor display from WSW-ENE across the sky for 25s."
2019-12-30,Santa Maria,CA,Circle,Watching Sunday or Monday night football went outside too record my thoughts. I started the camera recording for twelve minutes and rec
2019-12-29,Newport Beach,CA,Triangle,Triangle shaped ufo sighting
2019-12-28,Santa Maria,CA,Light,I was parked behind the movie theater and was looking towards the north east and saw a light like a star but much closer then a star  I
2019-12-26,Fullerton,CA,Oval,"A large orange oval, like a disc, moved very fast almost at impossible speeds.  It moved to the S and then disappeared."
2019-12-25,Gonzales,CA,Circle,"My dad, and I saw about 6 lights of varying distances apart from each other extremely high in the sky.  ((""Spacelink"" satellites.))"
2019-12-24,Venice Beach,CA,Light,Bright orange / pink section in clouds over the Pacific Ocean off Malibu / Santa Monica. Like sunset...
2019-12-23,Redding,CA,Light,Towards the wester norther sky started with 3 and the 200+lights traveling fast in a straight lUKne coming from the whiskey town lake a
2019-12-23,Eureka,CA,Formation,"Three of us when noticing a string 40 to 50 lights.  ((""Starlink"" satellites??))"
2019-12-22,Anaheim Hills,CA,Circle,Three fwhite ussy lights were seen traveling in a circular pattern ((NUFORC Note:  Advertising lights?  PD))
2019-12-22,Castro Valley,CA,Formation,Lights in sky in straight line at satellite heights moving very fast in easterly direction.  ((NUFORC Note:  Starlink satellites?  PD))
2019-12-22,Hayward,CA,Orb,OBJECTS APPEAR AS SATELLITES IN FORMATION.  ((Starlink satellites))
2019-12-22,San Francisco,CA,Formation,"Hundreds of crisscrossing star-like objects.  ((""Starlink"" satellites??))"
2019-12-22,Santa Cruz,CA,Sphere,"satellite like looking objects single file line, orderely flying in perfection, 30 or so of them, wow!!!!! ((Starlink satellites))"
2019-12-22,Salinas,CA,Light,"31 UFOs seen traveling SW to NE in a mostly evenly space row, one after the other.   ((NUFORC Note:  Starlink satellites?  PD))"
2019-12-22,Rohnert Park,CA,Light,Lights in a row.  ((NUFORC Note:  Starlink satellites?  PD))
2019-12-20,Fresno,CA,Other,I’m driving at the end of my block. There is a bright orange ball in the sky. About the size of a dime if I held it up to my eye. So I
2019-12-20,Gridley,CA,Circle,Circular object with 3 big lights continuously moving from 1 light to another until it made it back around to the first light.
2019-12-20,Santa Monica Beach,CA,Light,"Three or four bright lights, atleast, very high in sky in perfect formation, traveling higher and faster than the jets in the sky."
2019-12-20,Downey,CA,Light,"Bright light, brighter than any star in the sky fades out of view in an instant. ((NUFORC Note:   Possible flare from a satellite??PD))"
2019-12-20,Del Mar,CA,Unknown,"Very large bright (white Light) object falling down out of sky at a controlled rate, did anyone else see it?"
2019-12-19,Escondido,CA,Circle,Burned bright in daylight then in a second it vanished. No smoke left behind. Nothing.
2019-12-17,Bakersfield,CA,Sphere,round spinning
2019-12-16,Sea Ranch,CA,Light,See above for details.
2019-12-16,Los Molinos,CA,Other,"Firey cigar shaped stationary object, in daylight near Chico, Ca."
2019-12-16,Castaic,CA,Light,Bright light fluidly moving through the sky.
2019-12-15,Lake Elsinore,CA,Flash,Green UFO spotted from North Lake Elsinore moving Northwest at extremely high rate of speed.
2019-12-15,Santa Monica,CA,Teardrop,"Silent, oblong-shaped bioluminescent-colored glowing disc observed flying northwest toward Santa Monica Mountains at dawn."
2019-12-12,Norco,CA,Oval,Large Circular Structure hovering over south Riverside
2019-12-11,Indio,CA,Other,Looked like an orange star like in the night sky. It stood there for a minute. I thought it was Mars but it was 3 times brighter and it
2019-12-11,Santa Barbara,CA,Fireball,Bright green fireball flew across the sky
2019-12-11,Los Angeles,CA,Oval,Tic tax shaped object over downtown LA
2019-12-11,Joshua Tree,CA,Orb,Close encounter of the fifth kind.
2019-12-10,San Pedro,CA,Teardrop,White glowing object over the night sky
2019-12-10,Anaheim,CA,Circle,Red Orange Ball of Light
2019-12-09,Yucaipa,CA,Circle,Seen yellowish orange object traveling north near the I 10 day. Near yucaipa CA.Moving very slow.It stopped and looked like it shot 2 f
2019-12-08,Ramona,CA,Flash,"Lights went out in my neighborhood. West end of Ramona, CA. After lights went out there was a very bright flash/explosion of white ligh"
2019-12-08,Cypress,CA,Light,Standing outside saw a ball of light shoot so fast in a downward position my best guess is it was some place close to the North it was
2019-12-07,Ramona,CA,Flash,Lights went out. Went outside and entire neighborhood was dark (no power). Saw a very bright flash of white light toward the north side
2019-12-07,Half Moon Bay,CA,Light,Sky suddenly turned Green for about 12 seconds accompanied by (blink of the eye) power outage.
2019-12-06,Riverside,CA,Light,The object emitted light.
2019-12-05,Red Bluff,CA,Disk,I have 3 photos of a disk shaped thing in the sky. It has lights all around it. It happened it a rural area about 20 minutes from Red B
2019-12-05,La Conchita,CA,Flash,Saw a red flash of light beaming down over Ventura
2019-12-04,Clovis,CA,Light,saw a rather large ball of light hovering in the sky for a split second and then shot off to the North.
2019-12-04,Los Angeles,CA,Light,Streak of fast bright light above Los Angeles
2019-12-02,Los Angeles,CA,Cylinder,Cylinder object in the sky lighting up from the bottom in Hollywood area
2019-12-01,Newport Beach,CA,Light,Straight line of light in sky.  ((NUFORC Note:  Starlink satellites.  PD))((anonymous reports))
2019-11-28,Oceanside,CA,Light,Multiple lights moving into line formation during morning storm over Oceanside
2019-11-27,Palm Springs,CA,Other,6 small gatherings were moving fast it may look like star but there were 6 of them and they formed a circle and moved quickly off the p
2019-11-27,Ventura,CA,Unknown,"Huge Flat Beam of Light completely vertical,  Lit up entire sky with bright white lite,  lights inside were surging and losing power."
2019-11-26,elsinore,CA,Sphere,Seven UFOs
2019-11-25,Pico Rivera,CA,Light,I saw an orange light come down from the sky and hover over my head and causing vertigo.
2019-11-25,Oroville,CA,Other,"((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-24,Canyon Country,CA,Cigar,"sitting in backyard looking up noticed a steady light that looked like a satellite, nothing blinking.I told my wife sitting next to me"
2019-11-24,Citrus Heights,CA,Other,"I though I saw a satellite, I watched it, then saw several more.  ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-23,Woodfords,CA,Triangle,The entire triangle shape was lit up and it was zig zaging at 90 degree angles then turning into a ball of bright light.
2019-11-23,Bakersfield,CA,Circle,"Strange light objects in central California.   ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-23,Palm Springs,CA,Light,"8 lights traveling high speed over Palm Springs, Ca  ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-23,Homeland,CA,Formation,"At least 15 identical lights heading N/E on the same trajectory.   ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-23,Raymond,CA,Circle,"Looking exactly like stars but moving extremely fast, in a stright line.  ((NUFORC Note:  ""Starlink"" satellites.  PD))"
2019-11-22,Poway,CA,Light,"Sighted 20 to 30 individual objects, white lights, traveling (spaced apart) ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-22,Sonoma,CA,Formation,"V formation of lights, moving south to north, VERY FAST,  ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-21,Morgan hill,CA,Other,"((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-21,Visalia,CA,Fireball,Fireball in the sky
2019-11-21,Claremont,CA,Light,Two separate balls of light flew by at high speed.
2019-11-20,Santa Clarita,CA,Light,"There was a strange sting of lights,moving from side to side in a circular motion, doing quater turns from left to right and right to l"
2019-11-19,San Francisco,CA,Cigar,Mystery Giant White Blimp Like Object Over Oakland
2019-11-19,La Quinta,CA,Light,Three lights seen fly over mountain.
2019-11-18,Reseda,CA,Circle,"many silver objects in constellation formation  in the sky.  ((NUFORC Note:  ""Starlink"" satellites?  PD))"
2019-11-17,Palms Springs,CA,Oval,White orb/oval-like object hovering high in blue sky in Palm Springs in early afternoon
2019-11-17,Danville,CA,Circle,Quick bright streak across sky going faster than Mach 1
2019-11-16,Orland,CA,Rectangle,My husband and I were doing some rock hounding at Burris Creek and I had a strong urge to take some photos of the sun. I took about 25
2019-11-16,Riverside,CA,Sphere,"My husband and I saw 2 solid white, round objects, one larger than the other, ""parked"" in the daytime sky."
2019-11-16,Indio,CA,Fireball,A fireball object burnt orange color with lights falling from it.
2019-11-15,Corte Madera-Tiburon,CA,Disk,Seeveral bright gold disc shaped objects seen through binoculars
2019-11-15,Redding,CA,Fireball,Was on the outskirts of Redding California driving up a hill with a friend (they saw this too). When there was a faint light in the sky
2019-11-15,Ocotillo Wells,CA,Cylinder,We were out star gazing during a full moon at 2:00 AM at Shell Reef and took a picture of the moon and horizon and in the picture it ca
2019-11-15,Oro Grande,CA,Diamond,I saw 2 bright lights flying East fairly close together. I thought they were planes but they both completely stopped moving then I coul
2019-11-13,Los Angeles,CA,Oval,A ROUND BALL OF RED LIGHT LIGHT WITH INTERNAL FLASHING GREEN LIGHT FLYING IN AN ERRATIC PATTERN ; VARYING FROM HOVERING TO RAPIDLY ASCE
2019-11-12,El Pescadero,CA,Orb,"My Wife and I photo 36 bead of lights as they fly down the Mexican Coastline.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-12,La Quinta,CA,Formation,"Same as last night.  Lights, equidistant, moving in a SE direction ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-12,Placentia,CA,Light,Light slowly moves across sky
2019-11-12,Gustine,CA,Formation,"There was a line of lights that appear out of no where.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-12,Palmdale,CA,Formation,"20-40 Single file lights following each other  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Fort Seward,CA,Light,"I saw a string of lights moving in a straight line southward. ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Blythe,CA,Light,"String light formation over Blythe, CA.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Chatsworth,CA,Formation,"Multiple lights flying in “I” formation.  ((NUFORC Note:  Cluster of ""Starlink"" satellites??  PD))"
2019-11-11,Palm Desert,CA,Cigar,Very narrow and long cigar shaped object passed through the southern sky over Palm Desert. Object had lights and appeared to be active.
2019-11-11,Hemet,CA,Formation,"String of SpaceX Starlink satellites passing overhead.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,La Quinta,CA,Formation,"Straight line of lights, equidistant, moving in a SE direction.  Flew past and disappeared into the darkness."
2019-11-11,Pioneertown,CA,Other,"Mysterious long string of lights traveling slowly thru the night sky. ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Chula Vista,CA,Circle,"Appeared to be a string of 'stars' moving thru the sky heading SE.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Madera,CA,Formation,"I saw a single line formation of lights traveling south.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Chula Vista,CA,Diamond,"Experienced what looked like a string of diamonds in the sky.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Canyon Lake,CA,Other,"Long straight line of dimly lit light.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Westminster,CA,Sphere,"The lights traveled too straight and too evenly to conventional aircraft.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Playa Vista,CA,Formation,I saw a long straight string of moving lights flying south over Playa Vista.  ((NUFORC Note:  Space-X satellites.  PD))
2019-11-11,San Jose,CA,Formation,"string of lights very long and very high.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
2019-11-11,Coto De Caza,CA,Other,"Wwe noticed a string of lights.  ((NUFORC Note:  Cluster of ""Starlink"" satellites.  PD))"
